HomeTeam,AwayTeam,Date,HomeGoals,AwayGoals,League,Season
Manchester City,West Ham,2022-08-07,2,0,Premier League,2022-23
Liverpool,Fulham,2022-08-06,2,2,Premier League,2022-23
Arsenal,Crystal Palace,2022-08-05,2,0,Premier League,2022-23
Tottenham,Southampton,2022-08-06,4,1,Premier League,2022-23
Manchester United,Brighton,2022-08-07,1,2,Premier League,2022-23
Chelsea,Everton,2022-08-06,1,0,Premier League,2022-23
Newcastle,Nottingham Forest,2022-08-06,2,0,Premier League,2022-23
Leicester,Brentford,2022-08-06,2,2,Premier League,2022-23
Aston Villa,Bournemouth,2022-08-06,2,0,Premier League,2022-23
Wolves,Leeds,2022-08-06,2,1,Premier League,2022-23
Arsenal,Leicester,2022-08-13,4,2,Premier League,2022-23
Manchester City,Bournemouth,2022-08-13,4,0,Premier League,2022-23
Leeds,Chelsea,2022-08-21,0,3,Premier League,2022-23
Liverpool,Crystal Palace,2022-08-15,1,1,Premier League,2022-23
Tottenham,Chelsea,2022-08-14,2,2,Premier League,2022-23
Manchester United,Liverpool,2022-08-22,2,1,Premier League,2022-23
Arsenal,Fulham,2022-08-27,2,1,Premier League,2022-23
Manchester City,Crystal Palace,2022-08-27,4,2,Premier League,2022-23
Newcastle,Manchester City,2022-08-21,3,3,Premier League,2022-23
Chelsea,Leicester,2022-08-27,2,1,Premier League,2022-23
Arsenal,Manchester United,2022-09-03,3,1,Premier League,2022-23
Tottenham,Fulham,2022-09-03,2,1,Premier League,2022-23
Liverpool,Everton,2022-09-03,2,0,Premier League,2022-23
Chelsea,West Ham,2022-09-03,2,1,Premier League,2022-23
Manchester City,Aston Villa,2022-09-03,1,1,Premier League,2022-23
Manchester United,Arsenal,2022-09-04,0,1,Premier League,2022-23
Newcastle,Bournemouth,2022-09-17,1,1,Premier League,2022-23
Arsenal,Brentford,2022-09-18,3,0,Premier League,2022-23
Manchester City,Wolves,2022-09-17,3,0,Premier League,2022-23
Liverpool,Wolves,2022-09-24,2,0,Premier League,2022-23
